Output,RG,RF,RZ,RP,RYM,RZM,CG,CF,CZ,CP,CYM,CZM
11.4750428571,0.2590384753,0.0780385444,1408.87495211,92.8323679957,-1007.81115723,0.3387765529,0.2167049954,0.1203720244,1408.87495211,130.074607578,-1007.81115723,0.3387765529
11.4105357143,0.2582553898,0.0804286121,1423.04369815,94.8444234914,-1012.83776855,0.667940425,0.2184829991,0.1202893859,1423.04369815,133.97422909,-1012.83776855,0.667940425
11.4507040816,0.2625861612,0.0754791591,1409.16041531,93.3122306034,-1005.2220459,-0.4878955602,0.2214880242,0.1164005299,1405.66677139,131.967636454,-1005.2220459,-0.4878955602
11.4533660714,0.2623185493,0.0754198413,1333.66357296,92.7113678496,-1006.5526123,-0.4111178001,0.2212199492,0.1161708845,1333.66357296,130.907230416,-1006.5526123,-0.4111178001
11.4407698413,0.2618097067,0.0746414,1405.49801658,96.9693458686,-1005.45080566,0.7902923814,0.21956455,0.1165884225,1412.38770145,137.879422796,-1005.45080566,0.7902923814
11.4736071428,0.2597366592,0.0734283965,1412.78960454,96.0589909958,-1012.11108398,-0.031384313,0.2185472391,0.1147916115,1412.78960454,136.028269396,-1012.11108398,-0.031384313
11.4934928571,0.2554077148,0.0772460938,1415.34795973,98.4578450521,-1006.27319336,0.1229083359,0.217678264,0.1151392015,1404.36124383,137.91851215,-1006.27319336,0.1229083359
11.4717,0.2597366592,0.0765567068,1352.14749748,94.5320775953,-1007.44848633,0.179442394,0.2200244968,0.1163557667,1352.14749748,133.189483212,-1007.44848633,0.179442394
11.4999857143,0.2582717242,0.0756044415,1407.92658784,97.995564089,-1008.63964844,-0.1636788263,0.2189921753,0.115231597,1407.92658784,138.450976479,-1008.63964844,-0.1636788263
11.4994714286,0.2591922126,0.0728096819,1368.14750266,97.4568684896,-999.399169922,0.2054971891,0.2173180997,0.115452911,1368.14750266,136.551852669,-999.399169922,0.2054971891
11.4717,0.2631232517,0.0658876346,1400.5566465,99.8860677083,-1006.25610352,0.8448152576,0.2180872161,0.1113509571,1400.5566465,140.304236616,-1006.25610352,0.8448152576
11.4345,0.2578125938,0.0712680488,1425.38173547,103.076171875,-1005.64929199,-0.1420701799,0.2157695722,0.113481977,1425.38173547,144.626227263,-1005.64929199,-0.1420701799
11.5682285714,0.2560302897,0.076740721,1555.9880636,103.90218099,-998.01184082,-0.3463901968,0.2159507818,0.1162220274,1555.9880636,147.129488734,-998.01184082,-0.3463901968
11.4335285714,0.2700163303,0.0683948671,1412.87075728,95.6369173729,-999.758300781,-0.0893509265,0.2212621748,0.1168883052,1404.51599796,135.606048172,-999.758300781,-0.0893509265
11.3425428571,0.2753307197,0.0611846044,1356.84854465,94.3748344809,-1005.06103516,0.564399394,0.2249229491,0.1113316452,1352.20833345,133.01919142,-1005.06103516,0.564399394
11.1891428571,0.2744616202,0.0633573531,1417.38012977,98.9017809852,-1005.17480469,0.0304296902,0.2244883993,0.1129829342,1417.38012977,138.848354895,-1005.17480469,0.0304296902
11.0638285714,0.2702123168,0.0803260982,1526.49502483,98.1059827303,-1003.24328613,-0.6890474511,0.2235979631,0.1147101871,1522.89363098,138.344909703,-1003.24328613,-0.6890474511
10.9790571428,0.272204222,0.0799701102,1285.7486729,89.5482113487,-999.205810547,-0.3475501221,0.2263146984,0.1134225617,1286.30460134,127.126168862,-999.205810547,-0.3475501221
10.8708428571,0.2688371085,0.0721378101,1295.03815589,86.564688847,-1008.52478027,0.4888679255,0.2266683151,0.1141297952,1294.68545688,122.232424836,-1008.52478027,0.4888679255
